hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,53,1,1.11497,1.1147,1.11442,28,62,55,27,1.11498,1.11468,48.623294908197366,51.37670509180264,169977798,26,28,27,31,25,2,11,-7,0,-5,10000000,7500000,6666667,5312500,5000000,2708465,2613333,2418978,2350426,2222441,-35,-34,-32,-25,-9,-7,-3,-13,-21,-12,10000000,10000000,5000000,5000000,2973077,2289762,2046384,2022059,2000000,1910853
8,54,1,1.115,1.11479,1.1147,9,58,30,21,1.11507,1.11476,61.8971654486896,38.1028345513104,123170217,29,30,5,2,4,14,13,9,3,-1,7500000,5000000,2379242,2180992,1995567,1772727,1712329,1544776,1427565,1367974,-31,-34,-33,-37,-35,-6,-10,-9,-22,-17,10000000,10000000,5000000,5000000,5000000,3160202,2302083,2099315,2000000,2000000
8,55,0,1.11492,1.11472,1.11479,-7,62,14,20,1.11497,1.11464,48.93555575324479,51.06444424675521,170244755,31,39,28,37,36,34,13,4,2,17,7500000,6666667,6250000,5000000,5000000,5000000,3681269,2775443,2610929,2333333,-42,-28,-39,-31,-34,-18,-5,2,-14,-12,7500000,7500000,5000000,5000000,5000000,4000000,2518595,2336384,2277778,2262195
8,56,0,1.11491,1.11459,1.11472,-13,75,22,32,1.11496,1.11459,51.991063440838985,48.008936559161015,268627327,21,27,26,35,20,24,19,28,30,17,10000000,10000000,5714286,5555556,5454545,5312500,5000000,5000000,5000000,3166667,-35,-31,-27,-26,-38,-24,-28,-43,-25,-23,10000000,7500000,7500000,7500000,6250000,5714286,5625000,5555556,5156250,4714286
8,57,0,1.11474,1.11447,1.11459,-12,66,15,27,1.11484,1.11452,55.94234978875088,44.05765021124912,186445041,18,24,32,23,3,-12,2,5,-3,6,5000000,5000000,5000000,5000000,2559809,2526754,2463983,2459459,2392768,2346154,-28,-39,-32,-30,-37,-36,-34,-11,-2,-7,10000000,10000000,6250000,5227273,5000000,5000000,5000000,2685806,2463907,2388889
8,58,1,1.11482,1.11468,1.11447,21,45,35,14,1.11479,1.11445,49.780464623255526,50.21953537674448,203543277,59,60,56,54,33,35,30,13,9,28,7500000,7500000,5000000,5000000,3255882,2891447,2871158,2657727,2420297,2354855,-22,-18,-16,-25,-31,-8,-14,12,13,4,7500000,6000000,5714286,5000000,5000000,3162393,3100000,2735407,2705082,2565870
8,59,0,1.11484,1.11463,1.11468,-5,59,17,21,1.11492,1.11455,40.32738528599895,59.67261471400105,190234756,39,32,30,31,27,28,26,4,14,25,10000000,7500000,6250000,6250000,6000000,5000000,5000000,4251716,2709677,2366667,-38,-36,-11,-16,-20,-8,17,-13,-21,4,6666667,5000000,2965120,2451049,2056338,1992569,1900000,1876022,1875000,1824691
9,0,1,1.11478,1.11464,1.11463,1,56,15,14,1.11489,1.11455,47.69571758209624,52.30428241790376,148353994,34,32,33,29,31,5,7,12,9,3,6666667,6250000,5000000,5000000,5000000,3841847,2480344,2310526,2040761,1834457,-38,-42,-18,-17,-12,-20,-14,-27,-11,-15,10000000,10000000,2650000,2477011,2132779,2083333,2009615,2000000,1957505,1922589
9,1,0,1.11463,1.11422,1.11464,-42,87,29,41,1.11471,1.11438,48.12388869184548,51.87611130815452,275181887,31,24,28,18,30,27,4,-37,-2,-5,10000000,5250000,5000000,5000000,5000000,3250000,3234104,2882493,2438083,2251320,-43,-44,-42,-39,-41,-12,-17,-15,-22,11,10000000,6250000,5555556,5200000,4250000,2687279,2567591,2538523,2482993,2192521
9,2,0,1.1143,1.11406,1.11422,-16,84,8,24,1.11457,1.1142,55.725108188750745,44.274891811249255,214024331,22,9,10,13,-18,8,-9,-4,-6,4,10000000,5333333,5200000,5000000,3431261,2807692,2376050,2236111,2114243,2000000,-60,-57,-49,-53,-58,-46,-41,-51,-13,-22,6666667,6250000,6000000,5000000,5000000,3900000,3703704,3166667,3120520,2891249
