hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,53,0,0.86519,0.86488,0.86502,-14,40,20,31,0.86513,0.86491,46.79926027082916,53.20073972917084,262751839,7,8,12,4,5,10,14,6,15,-11,14000000,14000000,14000000,8750000,8750000,8750000,8400000,7000000,7000000,3170863,-4,-7,-2,-5,-8,-6,-9,16,15,10,14000000,14000000,10500000,9333333,8400000,7777778,7000000,3638057,3368379,3204139
8,54,1,0.86514,0.86501,0.86488,13,26,26,13,0.86513,0.86492,49.81391416404214,50.18608583595786,188000069,25,19,21,22,20,4,5,1,3,6,14000000,8750000,8400000,7777778,7636364,3632720,3343103,3171674,3126050,3092421,-7,-9,-8,-13,-10,7,6,5,8,-6,14000000,9333333,8750000,7304348,7291667,3682186,3511516,3422787,3215736,3000000
8,55,1,0.86521,0.86511,0.86501,10,25,20,10,0.86521,0.86501,45.612269540935706,54.38773045906429,193522872,20,23,21,28,18,16,17,-1,1,6,14000000,9333333,8400000,7000000,6211538,5315789,5111111,3933121,3494024,3474659,-9,-15,-13,-12,-10,5,1,3,0,-1,8875000,8250000,4888889,4882353,3687500,3536212,3471366,3372263,3359967,3134831
8,56,1,0.86526,0.8652,0.86511,9,30,15,6,0.86531,0.86509,54.24941886430085,45.75058113569915,245796292,26,27,29,30,20,13,2,-2,7,0,14000000,10500000,8750000,7777778,4203125,3531694,3516151,3510460,3337033,3166667,-21,-23,-24,-19,-22,-20,-4,6,-2,10,14000000,14000000,10500000,9333333,7700000,7000000,3717177,3226103,3218992,3178241
8,57,1,0.86546,0.86531,0.8652,11,23,26,15,0.86538,0.8652,45.43792298790381,54.5620770120962,168728377,26,25,33,24,7,21,-2,11,19,14,10500000,8000000,7000000,3666667,3659453,3416667,3333333,3273279,3269362,2930599,16,13,-7,12,11,17,-3,19,1,3,3854027,3813113,3333333,3290966,3202811,3121277,3111111,3062500,3058824,2620000
8,58,0,0.86535,0.86517,0.86531,-14,46,9,18,0.86542,0.86521,40.16443386245688,59.83556613754312,216086270,5,11,7,10,6,12,9,14,-18,-8,8750000,8750000,8000000,7350000,7333333,7233333,7000000,7000000,4597015,3750958,-28,-23,0,3,2,-10,-5,-14,-8,-2,10500000,7000000,3320874,3211180,2877778,2867293,2742271,2715789,2701299,2604386
8,59,1,0.86534,0.86519,0.86517,2,34,17,15,0.86538,0.86519,38.9208247122454,61.0791752877546,179040145,13,11,14,15,16,19,-1,-4,-7,-12,7583333,7583333,7466667,7000000,7000000,7000000,3279475,3192188,3153807,3000000,-1,8,4,-18,-6,3,-14,1,2,0,3307135,3216049,3089216,3000000,2975349,2771450,2746667,2730726,2699203,2696569
9,0,1,0.86528,0.8652,0.86519,1,25,9,8,0.86533,0.86516,32.61251210065648,67.38748789934353,165853605,17,14,18,16,15,20,12,11,8,10,10500000,9333333,9333333,8166667,8000000,8000000,4500000,3875000,3656667,3559055,0,-2,-7,1,-5,-14,2,3,-13,-1,3081679,3029070,3014834,2951763,2817687,2727273,2701370,2575301,2542553,2538043
9,1,0,0.86509,0.865,0.8652,-20,44,8,9,0.86522,0.86504,46.25346740474244,53.74653259525756,238205895,18,20,16,14,-16,15,-15,-10,0,2,7875000,7000000,5772727,3928571,3661585,3600000,3595890,3436937,3204954,3187676,-35,7,-33,-1,-21,0,6,-20,2,-6,9000000,4078125,4000000,3479215,3429032,3309632,3056452,2870504,2861660,2834684
9,2,1,0.86516,0.86502,0.865,2,32,20,14,0.86513,0.86494,58.4345882613607,41.5654117386393,248467742,20,23,28,22,18,-4,2,12,14,5,10500000,8000000,7583333,7500000,3580247,3155000,3154684,3149822,3091000,2901099,-12,-9,-17,-11,-8,-13,-18,-15,11,-7,14000000,9333333,9333333,8400000,8000000,8000000,7875000,7700000,3601287,3333333
9,3,1,0.86518,0.86507,0.86502,5,28,18,11,0.86517,0.86496,52.069238958464176,47.930761041535824,255908240,27,22,23,24,19,26,21,-3,-2,1,14000000,9333333,8000000,7466667,7142857,7000000,4500000,4251744,4217241,3380783,-12,-16,-8,-11,-13,-10,-15,-17,9,-7,14000000,10500000,7437500,7437500,7241379,7142857,7000000,7000000,3497914,3461538
9,4,0,0.86521,0.86506,0.86507,-1,28,15,15,0.8652,0.86501,52.077783282232375,47.922216717767625,203978227,18,20,16,14,15,0,-1,5,-2,-5,10500000,10500000,8000000,6000000,4900000,3702033,3522395,3516234,3396678,3339827,-8,-10,-9,-12,-11,-13,12,3,4,1,14000000,8750000,8750000,7875000,7250000,7000000,3173333,2958570,2858621,2807377
9,5,0,0.86507,0.86495,0.86506,-11,43,10,12,0.86516,0.86496,54.157756322242136,45.84224367775786,279612274,19,22,17,14,13,12,-14,-9,-15,-13,10500000,10500000,7000000,6500000,6000000,4000000,3478548,3102500,3093333,3002513,-27,-30,-31,-28,-24,-26,-22,-3,4,-2,14000000,14000000,14000000,10500000,7777778,7000000,6000000,3200332,3107229,2947126
9,6,0,0.86504,0.86491,0.86495,-4,40,9,13,0.86511,0.86492,45.98639424597294,54.01360575402706,192836354,18,15,17,12,10,-2,-10,-4,-1,-7,14000000,8400000,8166667,7000000,4437500,3286517,3219870,3054178,3026423,2937630,-20,-27,-25,-1,-13,-6,-11,-4,-9,3,9333333,7777778,7000000,3251706,3108571,3030469,2721122,2699766,2674946,2669565
9,7,0,0.86504,0.86491,0.86491,0,30,18,13,0.865,0.86483,48.6804979461658,51.3195020538342,171111670,22,25,21,-2,6,2,5,4,3,8,14000000,7000000,7000000,3509259,3120936,3057673,3002516,2907572,2894552,2877390,-10,-17,-13,6,4,-8,-1,9,8,12,7875000,7000000,7000000,3287812,3265815,3250000,3149038,3120881,2920105,2791237
9,8,1,0.86502,0.86492,0.86491,1,27,11,10,0.86505,0.86484,51.90872402479577,48.09127597520423,195475797,21,23,19,26,18,0,2,1,7,16,10500000,10500000,9333333,7000000,4137931,3531690,3337112,3033025,2816838,2727273,-12,-15,-17,-11,-14,-13,-10,2,7,0,8750000,7318182,7259259,7000000,7000000,7000000,4700000,3706215,3630498,3559474
9,9,0,0.86499,0.86481,0.86492,-11,36,12,18,0.86501,0.86481,48.7775925442992,51.2224074557008,204989342,13,16,15,20,10,8,-8,-10,-5,1,8750000,7875000,7583333,7000000,6545455,4150259,3819403,3781513,3702012,3310490,-17,-18,-15,-14,7,-1,9,4,8,3,8000000,7333333,7062500,7000000,3779236,3632027,3514286,3506136,3307246,3272881
9,10,1,0.86506,0.86489,0.86481,8,35,25,17,0.86508,0.86489,47.2414069554781,52.7585930445219,203764742,12,15,17,14,-5,4,1,-12,9,-7,10500000,8750000,8400000,7700000,3500000,3480514,3395687,3369048,3346471,3298635,-14,-18,-12,-10,6,7,1,2,-11,5,14000000,7000000,4375000,4098592,3835878,3790262,3284700,3227257,3151515,3043724
9,11,1,0.86516,0.86506,0.86489,17,22,27,10,0.86513,0.86496,55.15735217943835,44.84264782056165,170977009,32,22,20,5,2,4,6,10,3,7,7000000,5625000,4511628,3852123,3545263,3484088,3261156,3142185,3048128,3038409,-12,-11,-10,17,11,6,10,-8,1,3,8166667,7411765,5000000,3800000,3725490,3634571,3538462,3500000,3189055,3083333
9,12,1,0.8654,0.86516,0.86506,10,38,34,24,0.86532,0.86512,54.02186614061778,45.97813385938222,240085166,25,20,5,6,-7,9,-11,7,-8,-12,8000000,4263158,3851190,3797391,3745245,3565491,3474922,3332891,3167575,3121739,-14,-10,-12,-9,28,25,8,20,7,21,14000000,7857143,7000000,5333333,3333333,3234234,3125439,3095833,3076412,3056634
9,13,1,0.86539,0.86525,0.86516,9,30,23,14,0.86541,0.8652,49.35445879157252,50.64554120842748,214946154,16,18,19,17,-7,-4,-5,-2,3,-6,14000000,9333333,8400000,7583333,4725664,3857542,3706320,3608571,3605994,3562112,-10,-14,-13,-16,-12,7,-15,4,-1,6,10500000,8750000,7636364,7368421,7000000,4126016,4125000,3709571,3493450,3328283
9,14,0,0.86544,0.86525,0.86525,0,31,19,19,0.8654,0.86521,51.70979547653708,48.29020452346292,174136500,17,13,-4,15,-7,-1,-2,-6,0,-5,16000000,3458333,3364087,3350000,3303738,3167047,3127751,3033430,3001559,2908213,-10,-11,15,-8,9,6,8,4,10,12,14000000,6000000,3669231,3647059,3115385,3001520,2934982,2875718,2808682,2803738
9,15,1,0.8656,0.86533,0.86525,8,72,35,27,0.86557,0.86529,61.39018063559799,38.609819364402014,183549701,20,17,15,-2,19,-3,6,2,5,-1,5000000,3318182,3019608,2978200,2750000,2681933,2638632,2605896,2477824,2420328,-8,-11,-9,-6,-7,-19,1,22,5,12,8000000,7500000,5625000,4541667,4000000,3500000,2956522,2930131,2822816,2702320
9,16,0,0.86448,0.86435,0.86533,-98,137,9,13,0.86505,0.8648,51.770810367664815,48.22918963233519,490029461,-83,-47,-93,-48,-89,-85,-44,12,15,-41,4928571,4456391,4178571,3347941,3333333,2700000,2539316,2521739,2500000,2486324,-124,-105,-94,-117,-98,-91,-2,-1,-85,-95,8750000,4846154,3473684,3000000,2850000,2827586,2642961,2558715,2534483,2509434
9,17,0,0.86406,0.86395,0.86435,-40,75,8,11,0.86434,0.86413,51.73246198182819,48.26753801817181,340900006,10,-47,0,-28,-7,-45,-48,-29,-46,-8,3770115,3500766,3479487,3297510,3250000,3218329,3026630,3011494,2975000,2946429,-63,-62,3,-24,-14,-21,-44,-29,-10,-45,9125000,9000000,3646667,3436854,3321138,3271831,2993889,2955661,2949074,2917208
9,18,1,0.86428,0.86414,0.86395,19,30,33,14,0.86423,0.864,46.282927267478016,53.717072732521984,212126963,35,32,-6,9,-5,-4,21,-2,17,-7,8000000,7600000,3364641,3117950,3115385,2869281,2721983,2674051,2665923,2656522,20,10,21,-2,15,3,5,-3,-4,11,3550766,3534436,3407670,3317722,3184348,3171362,3121870,3111821,3088296,3069854
9,19,1,0.8644,0.86427,0.86414,13,31,27,13,0.86435,0.86414,55.21394504759112,44.78605495240888,258263328,33,34,37,28,-3,12,22,26,24,-2,7000000,4285300,4000000,3524371,3424194,3215817,3050000,3048485,3034925,3012968,-17,-16,-15,-18,22,13,12,10,0,-2,14000000,8750000,7000000,7000000,4476868,3768131,3596331,3401974,3322171,3311547
9,20,1,0.86457,0.86442,0.86427,15,28,32,15,0.86446,0.86425,47.65099322879162,52.34900677120838,299615207,37,36,35,39,33,34,42,32,2,-3,10500000,8750000,8750000,7875000,7500000,7000000,7000000,4727273,3441589,3416667,-13,-10,-11,-9,-6,23,-4,2,9,24,14000000,8400000,8166667,7583333,5625000,3682166,3678571,3431535,3422594,3394219
9,21,0,0.86454,0.86439,0.86442,-3,39,12,15,0.86457,0.86437,54.14828975610164,45.85171024389836,215200300,20,15,19,-8,-10,-7,-9,-4,-1,4,10500000,8166667,7000000,3945534,3684615,3635853,3482544,3287615,3092997,2999692,-24,-21,-16,-19,-15,-18,8,2,7,-4,14000000,7875000,7583333,7437500,7388889,7000000,3647668,3473609,3378924,3336000
9,22,1,0.86464,0.86447,0.86439,8,32,25,17,0.86459,0.8644,52.98321632383894,47.01678367616106,229800013,25,23,27,7,-7,3,4,-1,-3,20,9333333,7437500,7000000,3670370,3657534,3589491,3525033,3518000,3413793,3365854,-8,-11,-14,-13,-9,-6,14,13,19,17,14000000,8400000,7166667,7000000,6173913,3562500,3464925,3342556,3275449,3258929
9,23,0,0.8645,0.86431,0.86447,-16,59,8,19,0.86462,0.86445,54.05926869358935,45.940731306410655,219775757,6,-31,-6,-27,-26,-11,-18,-8,-24,-28,10500000,4130000,3963226,3096436,3036275,3025407,3010147,2991297,2957465,2929440,-37,-40,2,1,-9,-8,-3,-20,-18,-17,8750000,8750000,4043554,4018690,3536982,3416449,3143450,3113513,3109682,3075893
9,24,1,0.86452,0.86438,0.86431,7,36,21,14,0.86458,0.8644,48.25515542453272,51.74484457546728,209744269,15,13,12,11,-10,-2,-9,10,-11,-7,14000000,14000000,8000000,7000000,3591278,3455343,3395706,3333333,3290667,3008242,-20,-21,-22,2,0,3,-8,-3,1,-6,14000000,9333333,8400000,3945946,3564220,3456522,3356077,3170047,3113978,3043062
9,25,0,0.86446,0.86438,0.86438,0,37,8,8,0.86457,0.86438,56.25937318305726,43.74062681694274,168247941,14,13,-5,-3,-6,-2,-7,-10,-4,-9,10500000,7000000,3519108,2864668,2836096,2774725,2762168,2726415,2695382,2629464,-26,-29,-27,-24,-6,-1,0,-8,-9,-7,9333333,8750000,7250000,7000000,3787202,3755376,3702381,3401764,3370120,3264552
9,26,0,0.86459,0.86437,0.86438,-1,37,21,22,0.86457,0.86435,51.35656615825357,48.64343384174644,215084018,16,17,15,12,-10,-6,-5,2,0,-3,14000000,14000000,8000000,6285714,4141667,3644612,3355620,3303571,2961144,2875856,-14,-11,-15,-12,-10,-8,-9,14,10,11,10500000,7875000,7000000,7000000,7000000,6450000,4500000,4067692,3621495,3422652
9,27,0,0.86451,0.86436,0.86437,-1,32,14,15,0.86454,0.86433,61.54812790222639,38.45187209777361,166746339,17,19,1,-1,-5,-6,2,-3,-2,0,8750000,7000000,4279856,3095238,2894309,2712121,2609756,2560800,2554502,2524566,-11,-14,-17,-12,-16,-15,6,3,4,5,14000000,9333333,7777778,7777778,7700000,7000000,4091895,3532218,3274796,3232078
9,28,0,0.8644,0.8643,0.86436,-6,37,6,10,0.86448,0.8643,55.362131768929686,44.63786823107032,171525382,9,11,15,10,-5,-9,-6,6,-8,-7,7100000,7000000,7000000,4625000,3486418,3434010,3383051,3263158,2773267,2705326,-26,-27,-25,-7,-9,2,-8,-1,3,-6,14000000,10500000,7538462,4456702,3630102,3416667,3403023,3127119,2980769,2937690
9,29,0,0.86446,0.86424,0.8643,-6,34,19,22,0.86441,0.86423,59.98689482724096,40.01310517275904,155964369,14,8,4,-9,-1,-8,-7,0,-6,2,4500000,3322870,2966195,2931818,2832602,2806667,2666667,2635812,2568889,2463455,-12,-9,-7,10,9,6,15,16,-1,7,14000000,10500000,8400000,3202212,3151184,3142036,3057143,2931138,2878613,2841232
9,30,1,0.86468,0.86449,0.86424,25,38,44,19,0.86458,0.86436,52.94095530793731,47.05904469206269,197246367,30,-9,35,21,25,2,27,34,14,24,2730392,2602941,2500000,2400844,2327731,2312918,2294872,2266667,2170000,2143204,-14,32,-10,31,34,16,24,26,25,17,4111111,3161017,2831169,2803419,2528169,2526912,2409314,2407009,2403553,2400531
9,31,0,0.8633,0.86309,0.86449,-140,201,39,21,0.86386,0.8635,52.920509628092695,47.079490371907305,535013285,-80,-82,44,42,-130,39,-11,-106,-119,-105,3000000,3000000,3000000,2903846,2500000,2040323,2019685,2000000,2000000,2000000,-122,-123,-113,-90,-141,-109,10,15,17,-95,4000000,4000000,3000000,2425000,2370370,2200000,2177735,2174372,2074871,2066667
9,32,0,0.86293,0.86267,0.86309,-42,84,24,26,0.8631,0.86286,52.19583501123616,47.80416498876384,353303138,21,20,8,14,-18,-19,-13,13,-48,-9,7000000,7000000,3421926,3142857,2704312,2593813,2547748,2538462,2514644,2492482,-57,-58,8,9,-42,-22,-40,13,7,-5,7000000,7000000,2975012,2940795,2916667,2909908,2755906,2717635,2699897,2675802
9,33,1,0.86281,0.86268,0.86267,1,29,27,13,0.86275,0.86255,48.19756619231711,51.80243380768289,216002523,32,33,1,0,3,-4,28,13,14,6,14000000,12000000,3196581,3034898,2578855,2521552,2432820,2427526,2383042,2335576,-16,-13,1,22,21,6,20,3,2,-5,8750000,5400000,3204201,3133995,3119154,2856320,2831851,2675300,2652981,2596762
9,34,1,0.86298,0.86287,0.86268,19,38,30,11,0.86302,0.86282,51.84680550973519,48.15319449026481,232383945,28,27,19,20,2,8,0,-14,5,-13,8000000,7000000,2944444,2919333,2898564,2799207,2795427,2750000,2687860,2662304,-27,8,6,4,14,13,15,7,-22,12,12000000,3275264,3026316,2994375,2914570,2861475,2829381,2820859,2810811,2750213
