hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,53,0,1.11361,1.11357,1.1137,-13,30,1,4,1.11374,1.11359,50.60420618786505,49.39579381213495,264860495,3,8,9,10,12,13,7,6,-3,0,9635016,7636364,7437500,7318182,7152174,7000000,6296296,6000000,5914786,5659121,-26,-25,-3,-20,-24,-23,-12,-9,-4,-14,14000000,9333333,8278170,7411765,7411765,7388889,6395952,6347464,6278535,5917500
8,54,1,1.11373,1.11366,1.11357,9,19,16,7,1.11372,1.11358,45.185890890459966,54.814109109540034,255972979,17,22,12,19,16,18,21,1,6,15,14000000,9333333,9294118,8750000,7961538,7636364,7388889,7178884,6452015,5787879,-8,9,-12,-9,-10,3,8,0,-7,-2,7636364,7596429,7437500,7368421,7097222,6909394,6514094,6142724,6125000,5808824
8,55,1,1.11394,1.11372,1.11366,6,23,30,22,1.1138,1.11365,48.95120138257766,51.04879861742234,276249220,23,22,20,19,12,21,18,-3,7,10,7538462,7350000,7269231,7218750,7204959,7194444,6796296,6604444,5677468,5549310,1,-1,9,0,24,2,19,21,26,11,8750000,8750000,7640244,7269231,6841558,6772727,6235099,6203778,6171104,5594211
8,56,1,1.11386,1.1138,1.11372,8,70,14,6,1.11401,1.11382,49.03073723789356,50.96926276210644,279354021,15,5,13,16,14,-9,-15,-6,0,-7,7636364,7371579,7241379,7205882,7000000,6183025,5551042,4749822,4702324,4645477,1,-9,-28,-14,-19,-7,-27,3,-4,-13,10210132,6451463,6152381,6056946,5685012,5595146,5375000,5352973,5154324,4746073
8,57,1,1.1141,1.11393,1.1138,13,17,30,17,1.11395,1.11379,44.162281251717175,55.837718748282825,268136162,28,25,26,24,29,27,4,13,22,1,14000000,9333333,8166667,8000000,7000000,7000000,6556559,6528503,5527778,5456000,20,1,0,15,5,2,4,7,25,22,8910335,8000000,8000000,6227360,6000000,6000000,5653846,5646552,5394536,5037184
8,58,0,1.11396,1.11387,1.11393,-6,33,8,9,1.11404,1.11389,45.16022870289481,54.83977129710519,249062523,13,12,14,11,2,-2,-11,-8,10,7,7388889,7333333,7304348,7132075,6754672,6611547,6347812,6301458,5352941,5206061,1,-23,-22,-21,6,-12,-24,-14,-9,-3,7597767,7521739,6320000,5777778,5511348,5016711,4714286,4316456,4159644,4076707
8,59,0,1.11394,1.11386,1.11387,-1,44,21,8,1.11401,1.11383,47.65001350749792,52.34998649250208,389602133,28,27,26,-12,-9,16,-3,1,25,-1,8750000,7500000,7176471,6832908,6624585,6540433,6080830,6018359,5473684,5328412,-1,4,-31,-11,-29,-28,1,-16,9,16,7187996,6076125,5892857,5593624,5423077,5309524,5011278,4885538,4735079,4592337
9,0,0,1.11366,1.11357,1.11386,-29,46,11,9,1.11379,1.11365,45.42194065556328,54.57805934443672,413962207,-23,7,3,13,15,-3,-28,12,-15,4,11125714,8324286,8153226,7538462,7538462,7515833,6845745,6500000,6491624,6431214,-37,-36,-34,6,-24,-4,8,-29,2,-12,8166667,7466667,7350000,6933577,6788043,6066667,5691919,5512821,5177536,4762570
9,1,1,1.11394,1.11384,1.11357,27,19,51,10,1.11374,1.11359,50.84628488326705,49.15371511673295,488339043,53,4,56,39,30,50,54,51,44,49,14000000,9135509,8750000,8049204,7288889,7241379,7225806,7194444,6913228,6722892,-9,39,48,-8,4,14,-7,34,19,28,10500000,9812976,9543868,8400000,8168412,7871617,7777778,6546943,6148625,5900976
9,2,0,1.1137,1.11365,1.11384,-19,55,1,5,1.11394,1.11378,51.22226007173201,48.77773992826799,430937623,-15,11,-30,12,-24,9,-33,-20,-5,0,7670790,7142857,7057317,7000000,6864008,6620690,6567964,6207917,5882924,5834831,-50,-3,-46,-48,-47,-35,-10,-20,-30,-5,9333333,8552411,7437500,7368421,7350000,6921065,6435204,6121336,6002289,5910534
9,3,1,1.11383,1.11374,1.11365,9,18,28,9,1.11374,1.1136,44.50260648704752,55.49739351295248,360855812,35,20,24,36,34,32,33,9,14,31,10500000,8934375,8759375,8000000,7700000,7437500,7411765,6660393,6443280,6000000,-9,10,23,18,13,19,8,26,-7,3,8166667,7172562,7033444,6931635,6436152,6319198,5932021,5288742,5255814,5192181
9,4,1,1.11393,1.11387,1.11374,13,19,19,6,1.11392,1.11376,49.061992179451366,50.93800782054864,250144343,24,7,23,17,12,0,22,21,13,5,8166667,8026509,7318182,6283217,5762177,5338710,5277778,5195652,5057820,4867082,3,-13,-11,-9,-12,-6,-10,13,-2,14,8827627,7875000,7170732,6225000,6166667,5640316,5111111,5069914,5034086,4882890
9,5,1,1.11423,1.11411,1.11387,24,70,38,12,1.11416,1.11396,50.50635213480992,49.49364786519008,404409868,40,22,36,39,37,31,-4,35,32,13,8000000,7332143,7318182,7241379,7134615,6497742,6412308,6166667,5711340,5702297,33,24,-2,-7,15,-11,30,1,13,-3,8505000,6993425,6865196,6280000,6256479,5875000,5632399,5355257,5316456,5081633
9,6,0,1.11423,1.11406,1.11411,-5,29,24,17,1.11417,1.11403,44.84930863458344,55.15069136541656,296127916,22,21,19,-9,17,18,20,8,11,1,10500000,10500000,8000000,7744485,7058824,6421053,6230769,6198847,5401235,4828213,-12,-11,-9,-2,3,15,4,5,-7,0,7538462,7250000,7166667,6208216,5324194,5271992,4748558,4674378,4627907,4373770
9,7,1,1.11418,1.11415,1.11406,9,21,12,3,1.11421,1.11406,47.54389110383344,52.45610889616656,257842171,24,21,20,23,0,19,18,15,17,5,9333333,8400000,8000000,7875000,7551024,7318182,7000000,6716981,5852941,5581378,-18,-17,-14,-16,-7,-2,9,4,3,0,8000000,7333333,7127273,7071429,6520110,5541967,5304000,5222556,5147649,4942226
9,8,1,1.11431,1.11424,1.11415,9,28,17,7,1.11432,1.11417,51.23188042231682,48.76811957768318,302917794,23,26,0,-9,9,-8,17,4,14,-3,10500000,8750000,8485019,7881910,6107895,5176339,5114286,4993832,4768908,4717157,-21,-12,-17,-19,-18,-16,6,-3,-15,-4,7466667,7416268,7304348,7280000,7241379,7194444,6916719,6096750,6039474,5391060
9,9,0,1.11419,1.11407,1.11424,-17,40,8,12,1.11428,1.11412,48.15300886125963,51.84699113874037,307568801,11,12,-8,10,-17,9,6,-13,-3,5,9333333,9333333,8478161,7700000,7435731,7152174,5934426,5821145,5735963,5303797,-28,-26,-25,-24,-15,-22,-6,-16,4,-3,8750000,7388889,7112903,6933333,6661310,6410256,5928473,5814865,5561413,4972835
